group_key,analysis_type,series_id,diode,sample,geometry,config,role,source_file,source_member,blank_file,integration_time,blank_integration_time,integration_time_norm_factor,wavelength_nm,signal_raw,signal_normalized,signal_net,signal_gated,transmittance,transmittance_smooth,absorbance,absorbance_smooth,scattering_net,scattering_shape,scattering_shape_smooth,valid
BX_XXX_UV_RPMS470_90deg_BSEE,scattering_shape,BX_XXX,UV,RPMS470,90deg,BSEE,scintillator,BX_XXX_UV_RPMS470_90deg_BSEE.csv.zip,BX_XXX_UV_RPMS470_90deg_BSEE.csv,,2000.0,,2000.0,197.7616577,,,,,,,,,0.0,0.0,0.0,False
BX_XXX_UV_RPMS470_90deg_BSEE,scattering_shape,BX_XXX,UV,RPMS470,90deg,BSEE,scintillator,BX_XXX_UV_RPMS470_90deg_BSEE.csv.zip,BX_XXX_UV_RPMS470_90deg_BSEE.csv,,2000.0,,2000.0,197.9654999,,,,,,,,,0.0,0.0,0.0,False
BX_XXX_UV_RPMS470_90deg_BSEE,scattering_shape,BX_XXX,UV,RPMS470,90deg,BSEE,scintillator,BX_XXX_UV_RPMS470_90deg_BSEE.csv.zip,BX_XXX_UV_RPMS470_90deg_BSEE.csv,,2000.0,,2000.0,198.1693573,,,,,,,,,0.0,0.0,0.0,False
BX_XXX_UV_RPMS470_90deg_BSEE,scattering_shape,BX_XXX,UV,RPMS470,90deg,BSEE,scintillator,BX_XXX_UV_RPMS470_90deg_BSEE.csv.zip,BX_XXX_UV_RPMS470_90deg_BSEE.csv,,2000.0,,2000.0,198.37323,,,,,,,,,0.0,0.0,0.0,False
BX_XXX_UV_RPMS470_90deg_BSEE,scattering_shape,BX_XXX,UV,RPMS470,90deg,BSEE,scintillator,BX_XXX_UV_RPMS470_90deg_BSEE.csv.zip,BX_XXX_UV_RPMS470_90deg_BSEE.csv,,2000.0,,2000.0,198.5771179,,,,,,,,,0.0,0.0,0.0,False
BX_XXX_UV_RPMS470_90deg_BSEE,scattering_shape,BX_XXX,UV,RPMS470,90deg,BSEE,scintillator,BX_XXX_UV_RPMS470_90deg_BSEE.csv.zip,BX_XXX_UV_RPMS470_90deg_BSEE.csv,,2000.0,,2000.0,198.7810211,,,,,,,,,0.0,0.0,0.0,False
BX_XXX_UV_RPMS470_90deg_BSEE,scattering_shape,BX_XXX,UV,RPMS470,90deg,BSEE,scintillator,BX_XXX_UV_RPMS470_90deg_BSEE.csv.zip,BX_XXX_UV_RPMS470_90deg_BSEE.csv,,2000.0,,2000.0,198.9849548,,,,,,,,,0.0,0.0,0.0,False
BX_XXX_UV_RPMS470_90deg_BSEE,scattering_shape,BX_XXX,UV,RPMS470,90deg,BSEE,scintillator,BX_XXX_UV_RPMS470_90deg_BSEE.csv.zip,BX_XXX_UV_RPMS470_90deg_BSEE.csv,,2000.0,,2000.0,199.1888885,,,,,,,,,0.0,0.0,0.0,False
BX_XXX_UV_RPMS470_90deg_BSEE,scattering_shape,BX_XXX,UV,RPMS470,90deg,BSEE,scintillator,BX_XXX_UV_RPMS470_90deg_BSEE.csv.zip,BX_XXX_UV_RPMS470_90deg_BSEE.csv,,2000.0,,2000.0,199.3928375,,,,,,,,,0.0,0.0,0.0,False
BX_XXX_UV_RPMS470_90deg_BSEE,scattering_shape,BX_XXX,UV,RPMS470,90deg,BSEE,scintillator,BX_XXX_UV_RPMS470_90deg_BSEE.csv.zip,BX_XXX_UV_RPMS470_90deg_BSEE.csv,,2000.0,,2000.0,199.5968018,,,,,,,,,0.0,0.0,0.0,False
