file,path,series_id,diode,sample,geometry,config,role,measurement_type,parse_ok,parse_notes,base_key,sample_key
BX_XXX_UV_Air_0deg.csv.zip,/home/jackie/Pulpit/spectro_app/example_data/csv_zip_raw/BX_XXX_UV_Air_0deg.csv.zip,BX_XXX,UV,Air,0deg,DEFAULT,blank_air,transmittance,True,,BX_XXX_UV_0deg_DEFAULT,BX_XXX_UV_Air_0deg_DEFAULT
BX_XXX_White_Air_0deg.csv.zip,/home/jackie/Pulpit/spectro_app/example_data/csv_zip_raw/BX_XXX_White_Air_0deg.csv.zip,BX_XXX,White,Air,0deg,DEFAULT,blank_air,transmittance,True,,BX_XXX_White_0deg_DEFAULT,BX_XXX_White_Air_0deg_DEFAULT
BX_XXX_White_RMPS470_0deg_TSWS.csv.zip,/home/jackie/Pulpit/spectro_app/example_data/csv_zip_raw/BX_XXX_White_RMPS470_0deg_TSWS.csv.zip,BX_XXX,White,RMPS470,0deg,TSWS,scintillator,transmittance,True,,BX_XXX_White_0deg_TSWS,BX_XXX_White_RMPS470_0deg_TSWS
BX_XXX_White_RPMS470_0deg_TSET.csv.zip,/home/jackie/Pulpit/spectro_app/example_data/csv_zip_raw/BX_XXX_White_RPMS470_0deg_TSET.csv.zip,BX_XXX,White,RPMS470,0deg,TSET,scintillator,transmittance,True,,BX_XXX_White_0deg_TSET,BX_XXX_White_RPMS470_0deg_TSET
BX_XXX_UV_RMPS470_90deg_TSWS.csv.zip,/home/jackie/Pulpit/spectro_app/example_data/csv_zip_raw/BX_XXX_UV_RMPS470_90deg_TSWS.csv.zip,BX_XXX,UV,RMPS470,90deg,TSWS,scintillator,scattering,True,,BX_XXX_UV_90deg_TSWS,BX_XXX_UV_RMPS470_90deg_TSWS
BX_XXX_UV_RPMS470_90deg_BSEE.csv.zip,/home/jackie/Pulpit/spectro_app/example_data/csv_zip_raw/BX_XXX_UV_RPMS470_90deg_BSEE.csv.zip,BX_XXX,UV,RPMS470,90deg,BSEE,scintillator,scattering,True,,BX_XXX_UV_90deg_BSEE,BX_XXX_UV_RPMS470_90deg_BSEE
BX_XXX_White_RMPS470_90deg_TSEE.csv.zip,/home/jackie/Pulpit/spectro_app/example_data/csv_zip_raw/BX_XXX_White_RMPS470_90deg_TSEE.csv.zip,BX_XXX,White,RMPS470,90deg,TSEE,scintillator,scattering,True,,BX_XXX_White_90deg_TSEE,BX_XXX_White_RMPS470_90deg_TSEE
BX_XXX_White_RMPS470_90deg_TSWS.csv.zip,/home/jackie/Pulpit/spectro_app/example_data/csv_zip_raw/BX_XXX_White_RMPS470_90deg_TSWS.csv.zip,BX_XXX,White,RMPS470,90deg,TSWS,scintillator,scattering,True,,BX_XXX_White_90deg_TSWS,BX_XXX_White_RMPS470_90deg_TSWS
