1.940950928e+02;1.601885189e-03
1.942986603e+02;-4.034088925e-04
1.945022430e+02;6.766312290e-04
1.947058411e+02;-6.464945618e-04
1.949094543e+02;-1.521560363e-03
1.951130829e+02;1.076556509e-04
1.953167267e+02;-7.838523015e-05
1.955203857e+02;1.103844726e-03
1.957240601e+02;-7.804227062e-05
1.959277496e+02;1.550650690e-03
1.961314545e+02;-4.745066399e-04
1.963351746e+02;7.084991666e-04
1.965389252e+02;-1.143136527e-03
1.967426758e+02;-1.810864313e-03
1.969464417e+02;-9.547681548e-04
1.971502228e+02;-1.554555958e-03
1.973540192e+02;9.341214318e-04
1.975578308e+02;-4.743623140e-04
1.977616577e+02;7.557123899e-05
1.979654999e+02;-1.101352973e-05
1.981693573e+02;-5.577807315e-04
1.983732300e+02;-1.004153397e-03
1.985771179e+02;8.312372956e-04
1.987810211e+02;-1.494555036e-04
1.989849548e+02;-8.512886125e-04
1.991888885e+02;2.648779191e-04
1.993928375e+02;-6.447352935e-04
1.995968018e+02;-1.350564882e-03
1.998007812e+02;-1.468467410e-03
2.000047760e+02;-1.724694623e-03
2.002087860e+02;1.533981413e-03
2.004128113e+02;3.817249089e-04
2.006168518e+02;6.948430091e-04
2.008209076e+02;-1.331559033e-03
2.010249786e+02;-1.092668856e-03
2.012290649e+02;7.955891779e-04
2.014331818e+02;-1.129053999e-04
2.016372986e+02;-1.193243312e-03
2.018414307e+02;2.312779543e-05
2.020455780e+02;-2.177743590e-04
2.022497406e+02;1.104106428e-03
2.024539185e+02;1.548972563e-03
2.026581116e+02;-2.598073334e-03
2.028623199e+02;-4.562765826e-04
2.030665436e+02;2.561244648e-03
2.032707825e+02;-6.113427808e-04
2.034750366e+02;1.260200981e-03
2.036793060e+02;-2.102640225e-03
2.038835907e+02;4.697260447e-04
2.040878906e+02;-1.435201149e-03
2.042922058e+02;-2.008253941e-04
2.044965363e+02;-1.039160881e-03
2.047008820e+02;6.247651763e-04
2.049052429e+02;-1.589382999e-03
2.051096191e+02;5.750912242e-04
2.053140106e+02;5.384960677e-04
2.055184174e+02;3.651548177e-04
2.057228394e+02;4.096084740e-05
2.059272919e+02;-6.299876841e-04
2.061317444e+02;1.155665843e-03
2.063362122e+02;-3.521111794e-04
2.065406799e+02;1.189951552e-03
2.067451782e+02;1.361921313e-03
2.069496918e+02;8.821738884e-04
2.071542206e+02;5.032088957e-04
2.073587646e+02;-8.515231311e-04
2.075633240e+02;-3.689876758e-04
2.077678986e+02;-1.452276250e-03
2.079724884e+02;-1.021661563e-03
2.081770935e+02;-1.743384521e-03
2.083817139e+02;6.620818749e-04
2.085863495e+02;1.069568098e-03
2.087910004e+02;5.548765184e-04
2.089956665e+02;-4.378482699e-04
2.092003479e+02;-1.175825717e-03
2.094050446e+02;-6.955005229e-04
