analysis_type,comparison_id,dataset_id,sample_id,dose_label,role,reference_dataset_id,current_value,current_unit,geometry,wavelength_nm,sample_signal_raw,blank_signal_raw,sample_signal_net,blank_signal_net,sample_signal_gated,blank_signal_gated,sample_above_floor,blank_above_floor,valid_ratio_region,absolute_signal_difference,fractional_signal_loss,transmittance,transmittance_smooth,absorbance,absorbance_smooth,attenuation_coeff_1_per_mm,attenuation_coeff_1_per_mm_smooth,trusted_for_integrals,note,sample_shape_norm,sample_shape_norm_smooth,scattering_signal_raw,scattering_signal_gated,scattering_blank_signal_gated,scattering_signal_net,scattering_shape_norm,scattering_shape_norm_smooth
same_current_transmittance,sample_whiteLED_direct_40uA_test_vs_direct_blank,sample_whiteLED_direct_40uA_test,scintillator_test,test_format,sample,direct_blank,40.0,uA,direct,194.0950928,0.002100113314,0.001601885189,0.0022987140986,0.0018531603561000001,0.0,0.0,False,False,False,0.0,,,,,,,,False,Same-current direct transmittance after residual-baseline subtraction and noise-floor gating.,,,,,,,,
same_current_transmittance,sample_whiteLED_direct_40uA_test_vs_direct_blank,sample_whiteLED_direct_40uA_test,scintillator_test,test_format,sample,direct_blank,40.0,uA,direct,194.2986603,-0.001706601586,-0.0004034088925,0.0,0.0,0.0,0.0,False,False,False,0.0,,,,,,,,False,Same-current direct transmittance after residual-baseline subtraction and noise-floor gating.,,,,,,,,
same_current_transmittance,sample_whiteLED_direct_40uA_test_vs_direct_blank,sample_whiteLED_direct_40uA_test,scintillator_test,test_format,sample,direct_blank,40.0,uA,direct,194.502243,0.0009858810809,0.000676631229,0.0011844818655,0.0009279063961,0.0,0.0,False,False,False,0.0,,,,,,,,False,Same-current direct transmittance after residual-baseline subtraction and noise-floor gating.,,,,,,,,
same_current_transmittance,sample_whiteLED_direct_40uA_test_vs_direct_blank,sample_whiteLED_direct_40uA_test,scintillator_test,test_format,sample,direct_blank,40.0,uA,direct,194.7058411,0.0002299746848,-0.0006464945618,0.0004285754694,0.0,0.0,0.0,False,False,False,0.0,,,,,,,,False,Same-current direct transmittance after residual-baseline subtraction and noise-floor gating.,,,,,,,,
same_current_transmittance,sample_whiteLED_direct_40uA_test_vs_direct_blank,sample_whiteLED_direct_40uA_test,scintillator_test,test_format,sample,direct_blank,40.0,uA,direct,194.9094543,-0.0004561785026,-0.001521560363,0.0,0.0,0.0,0.0,False,False,False,0.0,,,,,,,,False,Same-current direct transmittance after residual-baseline subtraction and noise-floor gating.,,,,,,,,
same_current_transmittance,sample_whiteLED_direct_40uA_test_vs_direct_blank,sample_whiteLED_direct_40uA_test,scintillator_test,test_format,sample,direct_blank,40.0,uA,direct,195.1130829,0.002099182224,0.0001076556509,0.0022977830086000003,0.00035893081799999996,0.0,0.0,False,False,False,0.0,,,,,,,,False,Same-current direct transmittance after residual-baseline subtraction and noise-floor gating.,,,,,,,,
same_current_transmittance,sample_whiteLED_direct_40uA_test_vs_direct_blank,sample_whiteLED_direct_40uA_test,scintillator_test,test_format,sample,direct_blank,40.0,uA,direct,195.3167267,-0.0002148742788,-7.838523015e-05,0.0,0.00017288993694999997,0.0,0.0,False,False,False,0.0,,,,,,,,False,Same-current direct transmittance after residual-baseline subtraction and noise-floor gating.,,,,,,,,
same_current_transmittance,sample_whiteLED_direct_40uA_test_vs_direct_blank,sample_whiteLED_direct_40uA_test,scintillator_test,test_format,sample,direct_blank,40.0,uA,direct,195.5203857,0.0004188750172,0.001103844726,0.0006174758018,0.0013551198930999999,0.0,0.0,False,False,False,0.0,,,,,,,,False,Same-current direct transmittance after residual-baseline subtraction and noise-floor gating.,,,,,,,,
same_current_transmittance,sample_whiteLED_direct_40uA_test_vs_direct_blank,sample_whiteLED_direct_40uA_test,scintillator_test,test_format,sample,direct_blank,40.0,uA,direct,195.7240601,-0.0002318301704,-7.804227062e-05,0.0,0.00017323289648,0.0,0.0,False,False,False,0.0,,,,,,,,False,Same-current direct transmittance after residual-baseline subtraction and noise-floor gating.,,,,,,,,
same_current_transmittance,sample_whiteLED_direct_40uA_test_vs_direct_blank,sample_whiteLED_direct_40uA_test,scintillator_test,test_format,sample,direct_blank,40.0,uA,direct,195.9277496,0.001842959551,0.00155065069,0.0020415603356,0.0018019258571000001,0.0,0.0,False,False,False,0.0,,,,,,,,False,Same-current direct transmittance after residual-baseline subtraction and noise-floor gating.,,,,,,,,
