wavelength_nm,signal_raw,dataset_id,sample_id,dose_label,current_value,current_unit,file_path,section,role,geometry,residual_baseline,baseline_noise_sigma,effective_signal_floor,signal_net,signal_gated,above_signal_floor
198.9849548,-0.0008512886125,direct_blank,empty_holder,none,40.0,uA,..//example_data/raw/blank__whiteLED__direct-0deg__40uA__empty-holder__run01.txt,direct,blank_reference,direct,-0.0002512751671,0.00104299870356402,0.0052149935178201,0.0,0.0,False
199.1888885,0.0002648779191,direct_blank,empty_holder,none,40.0,uA,..//example_data/raw/blank__whiteLED__direct-0deg__40uA__empty-holder__run01.txt,direct,blank_reference,direct,-0.0002512751671,0.00104299870356402,0.0052149935178201,0.0005161530861999999,0.0,False
199.3928375,-0.0006447352935,direct_blank,empty_holder,none,40.0,uA,..//example_data/raw/blank__whiteLED__direct-0deg__40uA__empty-holder__run01.txt,direct,blank_reference,direct,-0.0002512751671,0.00104299870356402,0.0052149935178201,0.0,0.0,False
199.5968018,-0.001350564882,direct_blank,empty_holder,none,40.0,uA,..//example_data/raw/blank__whiteLED__direct-0deg__40uA__empty-holder__run01.txt,direct,blank_reference,direct,-0.0002512751671,0.00104299870356402,0.0052149935178201,0.0,0.0,False
199.8007812,-0.00146846741,direct_blank,empty_holder,none,40.0,uA,..//example_data/raw/blank__whiteLED__direct-0deg__40uA__empty-holder__run01.txt,direct,blank_reference,direct,-0.0002512751671,0.00104299870356402,0.0052149935178201,0.0,0.0,False
200.004776,-0.001724694623,direct_blank,empty_holder,none,40.0,uA,..//example_data/raw/blank__whiteLED__direct-0deg__40uA__empty-holder__run01.txt,direct,blank_reference,direct,-0.0002512751671,0.00104299870356402,0.0052149935178201,0.0,0.0,False
200.208786,0.001533981413,direct_blank,empty_holder,none,40.0,uA,..//example_data/raw/blank__whiteLED__direct-0deg__40uA__empty-holder__run01.txt,direct,blank_reference,direct,-0.0002512751671,0.00104299870356402,0.0052149935178201,0.0017852565801,0.0,False
200.4128113,0.0003817249089,direct_blank,empty_holder,none,40.0,uA,..//example_data/raw/blank__whiteLED__direct-0deg__40uA__empty-holder__run01.txt,direct,blank_reference,direct,-0.0002512751671,0.00104299870356402,0.0052149935178201,0.000633000076,0.0,False
200.6168518,0.0006948430091,direct_blank,empty_holder,none,40.0,uA,..//example_data/raw/blank__whiteLED__direct-0deg__40uA__empty-holder__run01.txt,direct,blank_reference,direct,-0.0002512751671,0.00104299870356402,0.0052149935178201,0.0009461181762,0.0,False
200.8209076,-0.001331559033,direct_blank,empty_holder,none,40.0,uA,..//example_data/raw/blank__whiteLED__direct-0deg__40uA__empty-holder__run01.txt,direct,blank_reference,direct,-0.0002512751671,0.00104299870356402,0.0052149935178201,0.0,0.0,False
201.0249786,-0.001092668856,direct_blank,empty_holder,none,40.0,uA,..//example_data/raw/blank__whiteLED__direct-0deg__40uA__empty-holder__run01.txt,direct,blank_reference,direct,-0.0002512751671,0.00104299870356402,0.0052149935178201,0.0,0.0,False
201.2290649,0.0007955891779,direct_blank,empty_holder,none,40.0,uA,..//example_data/raw/blank__whiteLED__direct-0deg__40uA__empty-holder__run01.txt,direct,blank_reference,direct,-0.0002512751671,0.00104299870356402,0.0052149935178201,0.0010468643450000001,0.0,False
201.4331818,-0.0001129053999,direct_blank,empty_holder,none,40.0,uA,..//example_data/raw/blank__whiteLED__direct-0deg__40uA__empty-holder__run01.txt,direct,blank_reference,direct,-0.0002512751671,0.00104299870356402,0.0052149935178201,0.00013836976719999998,0.0,False
201.6372986,-0.001193243312,direct_blank,empty_holder,none,40.0,uA,..//example_data/raw/blank__whiteLED__direct-0deg__40uA__empty-holder__run01.txt,direct,blank_reference,direct,-0.0002512751671,0.00104299870356402,0.0052149935178201,0.0,0.0,False
201.8414307,2.312779543e-05,direct_blank,empty_holder,none,40.0,uA,..//example_data/raw/blank__whiteLED__direct-0deg__40uA__empty-holder__run01.txt,direct,blank_reference,direct,-0.0002512751671,0.00104299870356402,0.0052149935178201,0.00027440296252999996,0.0,False
202.045578,-0.000217774359,direct_blank,empty_holder,none,40.0,uA,..//example_data/raw/blank__whiteLED__direct-0deg__40uA__empty-holder__run01.txt,direct,blank_reference,direct,-0.0002512751671,0.00104299870356402,0.0052149935178201,3.3500808099999976e-05,0.0,False
202.2497406,0.001104106428,direct_blank,empty_holder,none,40.0,uA,..//example_data/raw/blank__whiteLED__direct-0deg__40uA__empty-holder__run01.txt,direct,blank_reference,direct,-0.0002512751671,0.00104299870356402,0.0052149935178201,0.0013553815950999998,0.0,False
202.4539185,0.001548972563,direct_blank,empty_holder,none,40.0,uA,..//example_data/raw/blank__whiteLED__direct-0deg__40uA__empty-holder__run01.txt,direct,blank_reference,direct,-0.0002512751671,0.00104299870356402,0.0052149935178201,0.0018002477301,0.0,False
202.6581116,-0.002598073334,direct_blank,empty_holder,none,40.0,uA,..//example_data/raw/blank__whiteLED__direct-0deg__40uA__empty-holder__run01.txt,direct,blank_reference,direct,-0.0002512751671,0.00104299870356402,0.0052149935178201,0.0,0.0,False
202.8623199,-0.0004562765826,direct_blank,empty_holder,none,40.0,uA,..//example_data/raw/blank__whiteLED__direct-0deg__40uA__empty-holder__run01.txt,direct,blank_reference,direct,-0.0002512751671,0.00104299870356402,0.0052149935178201,0.0,0.0,False
203.0665436,0.002561244648,direct_blank,empty_holder,none,40.0,uA,..//example_data/raw/blank__whiteLED__direct-0deg__40uA__empty-holder__run01.txt,direct,blank_reference,direct,-0.0002512751671,0.00104299870356402,0.0052149935178201,0.0028125198151,0.0,False
203.2707825,-0.0006113427808,direct_blank,empty_holder,none,40.0,uA,..//example_data/raw/blank__whiteLED__direct-0deg__40uA__empty-holder__run01.txt,direct,blank_reference,direct,-0.0002512751671,0.00104299870356402,0.0052149935178201,0.0,0.0,False
203.4750366,0.001260200981,direct_blank,empty_holder,none,40.0,uA,..//example_data/raw/blank__whiteLED__direct-0deg__40uA__empty-holder__run01.txt,direct,blank_reference,direct,-0.0002512751671,0.00104299870356402,0.0052149935178201,0.0015114761481,0.0,False
203.679306,-0.002102640225,direct_blank,empty_holder,none,40.0,uA,..//example_data/raw/blank__whiteLED__direct-0deg__40uA__empty-holder__run01.txt,direct,blank_reference,direct,-0.0002512751671,0.00104299870356402,0.0052149935178201,0.0,0.0,False
203.8835907,0.0004697260447,direct_blank,empty_holder,none,40.0,uA,..//example_data/raw/blank__whiteLED__direct-0deg__40uA__empty-holder__run01.txt,direct,blank_reference,direct,-0.0002512751671,0.00104299870356402,0.0052149935178201,0.0007210012118,0.0,False
204.0878906,-0.001435201149,direct_blank,empty_holder,none,40.0,uA,..//example_data/raw/blank__whiteLED__direct-0deg__40uA__empty-holder__run01.txt,direct,blank_reference,direct,-0.0002512751671,0.00104299870356402,0.0052149935178201,0.0,0.0,False
204.2922058,-0.0002008253941,direct_blank,empty_holder,none,40.0,uA,..//example_data/raw/blank__whiteLED__direct-0deg__40uA__empty-holder__run01.txt,direct,blank_reference,direct,-0.0002512751671,0.00104299870356402,0.0052149935178201,5.044977299999999e-05,0.0,False
204.4965363,-0.001039160881,direct_blank,empty_holder,none,40.0,uA,..//example_data/raw/blank__whiteLED__direct-0deg__40uA__empty-holder__run01.txt,direct,blank_reference,direct,-0.0002512751671,0.00104299870356402,0.0052149935178201,0.0,0.0,False
204.700882,0.0006247651763,direct_blank,empty_holder,none,40.0,uA,..//example_data/raw/blank__whiteLED__direct-0deg__40uA__empty-holder__run01.txt,direct,blank_reference,direct,-0.0002512751671,0.00104299870356402,0.0052149935178201,0.0008760403434,0.0,False
204.9052429,-0.001589382999,direct_blank,empty_holder,none,40.0,uA,..//example_data/raw/blank__whiteLED__direct-0deg__40uA__empty-holder__run01.txt,direct,blank_reference,direct,-0.0002512751671,0.00104299870356402,0.0052149935178201,0.0,0.0,False
205.1096191,0.0005750912242,direct_blank,empty_holder,none,40.0,uA,..//example_data/raw/blank__whiteLED__direct-0deg__40uA__empty-holder__run01.txt,direct,blank_reference,direct,-0.0002512751671,0.00104299870356402,0.0052149935178201,0.0008263663913,0.0,False
205.3140106,0.0005384960677,direct_blank,empty_holder,none,40.0,uA,..//example_data/raw/blank__whiteLED__direct-0deg__40uA__empty-holder__run01.txt,direct,blank_reference,direct,-0.0002512751671,0.00104299870356402,0.0052149935178201,0.0007897712348,0.0,False
205.5184174,0.0003651548177,direct_blank,empty_holder,none,40.0,uA,..//example_data/raw/blank__whiteLED__direct-0deg__40uA__empty-holder__run01.txt,direct,blank_reference,direct,-0.0002512751671,0.00104299870356402,0.0052149935178201,0.0006164299848,0.0,False
205.7228394,4.09608474e-05,direct_blank,empty_holder,none,40.0,uA,..//example_data/raw/blank__whiteLED__direct-0deg__40uA__empty-holder__run01.txt,direct,blank_reference,direct,-0.0002512751671,0.00104299870356402,0.0052149935178201,0.00029223601449999997,0.0,False
205.9272919,-0.0006299876841,direct_blank,empty_holder,none,40.0,uA,..//example_data/raw/blank__whiteLED__direct-0deg__40uA__empty-holder__run01.txt,direct,blank_reference,direct,-0.0002512751671,0.00104299870356402,0.0052149935178201,0.0,0.0,False
206.1317444,0.001155665843,direct_blank,empty_holder,none,40.0,uA,..//example_data/raw/blank__whiteLED__direct-0deg__40uA__empty-holder__run01.txt,direct,blank_reference,direct,-0.0002512751671,0.00104299870356402,0.0052149935178201,0.0014069410101,0.0,False
206.3362122,-0.0003521111794,direct_blank,empty_holder,none,40.0,uA,..//example_data/raw/blank__whiteLED__direct-0deg__40uA__empty-holder__run01.txt,direct,blank_reference,direct,-0.0002512751671,0.00104299870356402,0.0052149935178201,0.0,0.0,False
206.5406799,0.001189951552,direct_blank,empty_holder,none,40.0,uA,..//example_data/raw/blank__whiteLED__direct-0deg__40uA__empty-holder__run01.txt,direct,blank_reference,direct,-0.0002512751671,0.00104299870356402,0.0052149935178201,0.0014412267191,0.0,False
206.7451782,0.001361921313,direct_blank,empty_holder,none,40.0,uA,..//example_data/raw/blank__whiteLED__direct-0deg__40uA__empty-holder__run01.txt,direct,blank_reference,direct,-0.0002512751671,0.00104299870356402,0.0052149935178201,0.0016131964801,0.0,False
206.9496918,0.0008821738884,direct_blank,empty_holder,none,40.0,uA,..//example_data/raw/blank__whiteLED__direct-0deg__40uA__empty-holder__run01.txt,direct,blank_reference,direct,-0.0002512751671,0.00104299870356402,0.0052149935178201,0.0011334490555,0.0,False
207.1542206,0.0005032088957,direct_blank,empty_holder,none,40.0,uA,..//example_data/raw/blank__whiteLED__direct-0deg__40uA__empty-holder__run01.txt,direct,blank_reference,direct,-0.0002512751671,0.00104299870356402,0.0052149935178201,0.0007544840627999999,0.0,False
207.3587646,-0.0008515231311,direct_blank,empty_holder,none,40.0,uA,..//example_data/raw/blank__whiteLED__direct-0deg__40uA__empty-holder__run01.txt,direct,blank_reference,direct,-0.0002512751671,0.00104299870356402,0.0052149935178201,0.0,0.0,False
207.563324,-0.0003689876758,direct_blank,empty_holder,none,40.0,uA,..//example_data/raw/blank__whiteLED__direct-0deg__40uA__empty-holder__run01.txt,direct,blank_reference,direct,-0.0002512751671,0.00104299870356402,0.0052149935178201,0.0,0.0,False
207.7678986,-0.00145227625,direct_blank,empty_holder,none,40.0,uA,..//example_data/raw/blank__whiteLED__direct-0deg__40uA__empty-holder__run01.txt,direct,blank_reference,direct,-0.0002512751671,0.00104299870356402,0.0052149935178201,0.0,0.0,False
207.9724884,-0.001021661563,direct_blank,empty_holder,none,40.0,uA,..//example_data/raw/blank__whiteLED__direct-0deg__40uA__empty-holder__run01.txt,direct,blank_reference,direct,-0.0002512751671,0.00104299870356402,0.0052149935178201,0.0,0.0,False
208.1770935,-0.001743384521,direct_blank,empty_holder,none,40.0,uA,..//example_data/raw/blank__whiteLED__direct-0deg__40uA__empty-holder__run01.txt,direct,blank_reference,direct,-0.0002512751671,0.00104299870356402,0.0052149935178201,0.0,0.0,False
208.3817139,0.0006620818749,direct_blank,empty_holder,none,40.0,uA,..//example_data/raw/blank__whiteLED__direct-0deg__40uA__empty-holder__run01.txt,direct,blank_reference,direct,-0.0002512751671,0.00104299870356402,0.0052149935178201,0.000913357042,0.0,False
208.5863495,0.001069568098,direct_blank,empty_holder,none,40.0,uA,..//example_data/raw/blank__whiteLED__direct-0deg__40uA__empty-holder__run01.txt,direct,blank_reference,direct,-0.0002512751671,0.00104299870356402,0.0052149935178201,0.0013208432651,0.0,False
208.7910004,0.0005548765184,direct_blank,empty_holder,none,40.0,uA,..//example_data/raw/blank__whiteLED__direct-0deg__40uA__empty-holder__run01.txt,direct,blank_reference,direct,-0.0002512751671,0.00104299870356402,0.0052149935178201,0.0008061516854999999,0.0,False
208.9956665,-0.0004378482699,direct_blank,empty_holder,none,40.0,uA,..//example_data/raw/blank__whiteLED__direct-0deg__40uA__empty-holder__run01.txt,direct,blank_reference,direct,-0.0002512751671,0.00104299870356402,0.0052149935178201,0.0,0.0,False
209.2003479,-0.001175825717,direct_blank,empty_holder,none,40.0,uA,..//example_data/raw/blank__whiteLED__direct-0deg__40uA__empty-holder__run01.txt,direct,blank_reference,direct,-0.0002512751671,0.00104299870356402,0.0052149935178201,0.0,0.0,False
209.4050446,-0.0006955005229,direct_blank,empty_holder,none,40.0,uA,..//example_data/raw/blank__whiteLED__direct-0deg__40uA__empty-holder__run01.txt,direct,blank_reference,direct,-0.0002512751671,0.00104299870356402,0.0052149935178201,0.0,0.0,False
209.6097565,0.0002813576721,direct_blank,empty_holder,none,40.0,uA,..//example_data/raw/blank__whiteLED__direct-0deg__40uA__empty-holder__run01.txt,direct,blank_reference,direct,-0.0002512751671,0.00104299870356402,0.0052149935178201,0.0005326328392,0.0,False
209.8144836,0.00131074083,direct_blank,empty_holder,none,40.0,uA,..//example_data/raw/blank__whiteLED__direct-0deg__40uA__empty-holder__run01.txt,direct,blank_reference,direct,-0.0002512751671,0.00104299870356402,0.0052149935178201,0.0015620159971000002,0.0,False
210.0192108,-0.0003359655384,direct_blank,empty_holder,none,40.0,uA,..//example_data/raw/blank__whiteLED__direct-0deg__40uA__empty-holder__run01.txt,direct,blank_reference,direct,-0.0002512751671,0.00104299870356402,0.0052149935178201,0.0,0.0,False
210.2239685,0.0001606044825,direct_blank,empty_holder,none,40.0,uA,..//example_data/raw/blank__whiteLED__direct-0deg__40uA__empty-holder__run01.txt,direct,blank_reference,direct,-0.0002512751671,0.00104299870356402,0.0052149935178201,0.00041187964959999996,0.0,False
210.4287415,0.0003657593334,direct_blank,empty_holder,none,40.0,uA,..//example_data/raw/blank__whiteLED__direct-0deg__40uA__empty-holder__run01.txt,direct,blank_reference,direct,-0.0002512751671,0.00104299870356402,0.0052149935178201,0.0006170345005,0.0,False
210.6335297,0.0001605232246,direct_blank,empty_holder,none,40.0,uA,..//example_data/raw/blank__whiteLED__direct-0deg__40uA__empty-holder__run01.txt,direct,blank_reference,direct,-0.0002512751671,0.00104299870356402,0.0052149935178201,0.0004117983917,0.0,False
210.8383331,9.403610602e-05,direct_blank,empty_holder,none,40.0,uA,..//example_data/raw/blank__whiteLED__direct-0deg__40uA__empty-holder__run01.txt,direct,blank_reference,direct,-0.0002512751671,0.00104299870356402,0.0052149935178201,0.00034531127312,0.0,False
211.0431519,-0.001929624006,direct_blank,empty_holder,none,40.0,uA,..//example_data/raw/blank__whiteLED__direct-0deg__40uA__empty-holder__run01.txt,direct,blank_reference,direct,-0.0002512751671,0.00104299870356402,0.0052149935178201,0.0,0.0,False
211.2479858,0.0007968610153,direct_blank,empty_holder,none,40.0,uA,..//example_data/raw/blank__whiteLED__direct-0deg__40uA__empty-holder__run01.txt,direct,blank_reference,direct,-0.0002512751671,0.00104299870356402,0.0052149935178201,0.0010481361824,0.0,False
211.4528198,-0.001861323137,direct_blank,empty_holder,none,40.0,uA,..//example_data/raw/blank__whiteLED__direct-0deg__40uA__empty-holder__run01.txt,direct,blank_reference,direct,-0.0002512751671,0.00104299870356402,0.0052149935178201,0.0,0.0,False
