dataset_id,role,current,n_points,wavelength_min_nm,wavelength_max_nm,signal_min,signal_max,residual_baseline,baseline_noise_sigma,threshold_noise,threshold_fraction,effective_signal_floor,points_above_floor
direct_blank,blank_reference,40.0 uA,3648,194.0950928,1020.732849,-0.003269987181,0.7628136277,-0.0002512751671,0.00104299870356402,0.0052149935178201,0.0038153245143355,0.0052149935178201,1510
direct_dark_qc,dark_qc,40.0 uA,3648,194.0950928,1020.732849,-0.01219344884,0.02376950718,0.0009260847,0.00221207684143488,0.0110603842071744,0.0001142171124,0.0110603842071744,5
sample_whiteLED_direct_200uA_shape_only,sample,200.0 uA,3648,194.0950928,1020.732849,-0.004033909179,0.7355783582,0.0004242095165,0.0010679261196387,0.0053396305981935005,0.0036757707434174995,0.0053396305981935005,1431
sample_whiteLED_direct_40uA_test,sample,40.0 uA,3648,194.0950928,1020.732849,-0.003782927524,0.1289253831,-0.0001986007846,0.00106800573036612,0.0053400286518306,0.000645619919423,0.0053400286518306,1187
sample_whiteLED_scatter90_40mA_test,scattering_sample,40.0 mA,3648,194.0950928,1020.732849,-0.004116150085,0.1160912216,-0.0002403020044,0.001092760204116,0.00546380102058,0.0005816576180220001,0.00546380102058,1044
scattering_dark_qc,scattering_dark_qc,40.0 mA,3648,194.0950928,1020.732849,-0.0128997229,0.02509644814,0.001057354384,0.00221163443122272,0.0110581721561136,0.00012019546878000002,0.0110581721561136,5
